keys,ru,en
HELP1,"""Помогите лунатику убраться как-можно дальше""","""Help sleepwalker to walk far away"""
HELP2,"""Устраняйте препятсятвия на пути (просто жмакайте на них)""","""Get rid of obstakles by tapping on them"""
START1,"""Наш человек спрятал всю колбасу в холодильнике""","""Our human locked all the sausages  in fridge"""
START2,"""Ты пробовал её достать?""","""Did you try to get it?"""
START3,"""Да, но этот лунатик встаёт от каждого шороха, стукается в дверь и просыпается""","""Yes, but this sleepwalker rise up from every sound, hitting the door and waking up"""
START4,"""Достать колбаску незамеченными не получится...""","""We cannnot get the sausage unnoticed"""
START5,"""А что если он не стукнется в дверь?""","""And what ig he'll not nit the door?"""
START6,"""Что ты имеешь в виду?""","""What do you mean?"""
START7,"""Что если мы откроем дверь и поможем ему прогуляться куда-подальше?""","""What if we will open the door and help him to walk somewhere far away?"""
START8,"""Тогда у нас будет достаточно времени ""","""So we will have enough time"""
START9,"""чтобы насладиться безупречным вкусом сырокопченой колбаски""","""to enjoy the impeccable taste of raw smoked sausage"""
START10,"""Хе-хе-хе, можно попробовать... Ой, кажется он поднялся""","""Heh heh heh, you can try ... Oh, he seems to have risen."""
FINISH1,"""И он шёл и шёл, ""","""And there he walked,"""
FINISH2,"""преодолевая закрытые ворота, перекрёстки, шлагбаумы""","""overcoming closed gates, intersections, barriers"""
FINISH3,"""нападения птиц, крыс, собак""","""attacks of birds, rats, dogs"""
FINISH4,"""и множество других преград, которые автор не успел добавить в игру""","""and many other obstacles that the author did not manage to add to the game in time"""
FINISH5,"""Спасибо за ваше время.""","""Thank you for your time."""